insider_name,insider_role,company_name,company_cik,filing_date,filing
PEAK SCOTT BENNETT,['Director'],"Cheniere Energy, Inc.",0000003570,2022-04-07,0000003570-22-000041
JOHNSON MERCEDES,['Director'],ANALOG DEVICES INC,0000006281,2021-08-30,0000006281-21-000217
Habachy David,['Director'],EARTHSTONE ENERGY INC,0000010254,2021-01-22,0000010254-21-000016
Wrobel Jill,['Officer'],BRUNSWICK CORP,0000014930,2021-12-17,0000014930-21-000158
SIEGEL KENNETH I,['Director'],FLOWSERVE CORP,0000030625,2022-08-22,0000030625-22-000085
Villalobos Gabriela,['Officer'],FARMER BROTHERS CO,0000034563,2019-09-06,0000034563-19-000054
Smiley Joshua L,"['Officer', 'SVP and CFO']",LILLY ELI & CO,0000059478,2018-01-09,0000059478-18-000006
Nee Brian,['Officer'],"PGIM Global Short Duration High Yield Fund, Inc.",0001554697,2018-07-19,0000067590-18-001247
Brinda Patty S.,['Officer'],NL INDUSTRIES INC,0000072162,2019-06-03,0000072162-19-000008
Kasher Alan,['Officer'],SOUTHWEST AIRLINES CO,0000092380,2021-02-04,0000092380-21-000008
McGrew Matthew,['Officer'],DANAHER CORP /DE/,0000313616,2019-01-03,0000313616-19-000002
FMR LLC,"['10% Owner', 'Other']",PRECISION BIOSCIENCES INC,0001357874,2019-03-27,0000315066-19-001465
Mayer Bethany,['Director'],LAM RESEARCH CORP,0000707549,2019-05-14,0000707549-19-000090
FITZSIMMONS ELLEN M,['Officer'],SUNTRUST BANKS INC,0000750556,2018-01-17,0000750556-18-000007
Schweihs Carl,['Officer'],"TrueBlue, Inc.",0000768899,2019-06-10,0000768899-19-000091
Joachimczyk Paul,['Officer'],AMERICAN WOODMARK CORP,0000794619,2020-07-20,0000794619-20-000051
GABELLI MARIO J,['10% Owner'],Internap Corp,0001056386,2019-01-17,0000807249-19-000011
KANTER HARVEY S,['Officer'],"DESTINATION XL GROUP, INC.",0000813298,2019-02-21,0000813298-19-000015
COLL WAYNE M,['Officer'],MICRON SOLUTIONS INC /DE/,0000819689,2019-08-13,0000819689-19-000067
DACIER PAUL T,['Director'],PROGRESS SOFTWARE CORP /MA,0000876167,2018-04-16,0000876167-18-000029
HARRIS SIDNEY E,['Director'],Stone Harbor Emerging Markets Income Fund,0001501103,2022-04-18,0000883237-22-000164
Colwell Michael C.,['Officer'],KADANT INC,0000886346,2019-07-02,0000886346-19-000111
Cunningham Rose,['Officer'],ASGN Inc,0000890564,2022-12-15,0000890564-22-000038
Schlecht Richard W,['Officer'],DULUTH HOLDINGS INC.,0001649744,2020-02-03,0000892712-20-000045
Skirnick Gabriella,['Officer'],Phillip Street Middle Market Lending Fund LLC,0001948368,2022-12-20,0000895345-22-000843
Hansen Bruce Edward,['Director'],LIVEPERSON INC,0001102993,2023-01-06,0000895345-23-000006
Gramz Mark A,['Officer'],MARCUS CORP,0000062234,2023-08-14,0000897069-23-001174
Householder Paul D,['Director'],ALAMO GROUP INC,0000897077,2024-02-27,0000897077-24-000019
BOGART STACY L,['Officer'],WINNEBAGO INDUSTRIES INC,0000107687,2018-01-02,0000897101-18-000003
Eliasek M Grier,"['Director', 'Officer']","TP Flexible Income Fund, Inc.",0001521945,2019-04-10,0000897101-19-000342
Forte Jill M,['Officer'],Thrivent Church Loan & Income Fund,0001721413,2018-09-28,0000898432-18-001058
Buggy Joseph J,['Officer'],"Corvus Pharmaceuticals, Inc.",0001626971,2018-01-23,0000899243-18-001669
SCHWARZMAN STEPHEN A,['10% Owner'],One Madison Corp,0001712463,2018-01-31,0000899243-18-002369
WADDELL & REED FINANCIAL INC,"['10% Owner', 'Other']",MARRONE BIO INNOVATIONS INC,0001441693,2018-02-07,0000899243-18-003130
CANESSA REMO,['Officer'],"Zscaler, Inc.",0001713683,2018-03-15,0000899243-18-007544
"Fifth Creek Energy Company, LLC; NGP Energy Capital Management, L.L.C.","['10% Owner', 'Other (Director by Deputization)']",HighPoint Resources Corp,0001725526,2018-03-19,0000899243-18-007998
